Index,Part Name,Collection ID,Unit ID,Part Type,X Part,Rarity,Attr,W Tag 1,W Tag 2,Armor,Melee ATK,Shot ATK,Melee DEF,Shot DEF,Beam RES,Phys. RES,EX ID,Trait,Wep Type,Wep Cat,Notes
336,Stark Jegan,12-03-4-01,56,4,,1,3,5,15,287,138,287,376,138,194,138,108,,,,"Free Missions, Friend Point Capsule, Capital Shop"
337,Stark Jegan,12-03-5-01,56,5,,1,3,5,19,287,138,138,511,138,194,138,,"Middle-Shooter Job, Sp. Shot DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
338,Beam Rifle [Stark Jegan],12-03-7a-01,56,7,,1,3,5,7,138,0,1154,287,0,138,55,,"Long-Shooter Job, Shooting DMG output boosted by 10",1,8,"Free Missions, Friend Point Capsule, Capital Shop"
339,Hyper Bazooka [Stark Jegan],12-03-7d-01,56,7,,1,3,5,7,138,0,1154,287,0,138,55,,"Middle-Shooter Job, Shooting DMG output boosted by 10",2,12,"Free Missions, Friend Point Capsule, Capital Shop"
340,Dreissen [Unicorn Ver.],12-04-1-01,57,1,,1,1,11,17,373,137,287,373,137,110,110,,"Physical ranged weapon, reload speed boosted 10%",,,"Free Missions, Friend Point Capsule, Capital Shop"
341,Dreissen [Unicorn Ver.],12-04-2-01,57,2,,1,1,11,17,511,137,137,511,287,110,110,,EX Skill piercing boosted 15%,,,"Free Missions, Friend Point Capsule, Capital Shop"
342,Dreissen [Unicorn Ver.],12-04-3-01,57,3,,1,1,11,23,137,1016,137,511,137,0,0,109,,,,"Free Missions, Friend Point Capsule, Capital Shop"
343,Dreissen [Unicorn Ver.],12-04-4-01,57,4,,1,1,11,23,287,137,137,511,287,138,110,,"Middle-Shooter Job, Sp. Shot DMG output boosted by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
344,Dreissen [Unicorn Ver.],12-04-5-01,57,5,,1,1,11,23,287,137,137,511,287,110,138,110,,,,"Free Missions, Friend Point Capsule, Capital Shop"
345,Beam Tomahawk [Dreissen],12-04-6b-01,57,6,,1,1,11,6,137,1310,0,0,0,138,138,111,,1,1,"Free Missions, Friend Point Capsule, Capital Shop"
346,Giant Bazooka [Dreissen],12-04-7d-01,57,7,,1,1,11,17,373,0,798,0,0,143,143,,"With Bazooka Category equipped, Shooting DMG output boosted 10%",2,12,"Free Missions, Friend Point Capsule, Capital Shop"
347,Byarlant Custom,12-05-1-01,58,1,,2,1,9,8,187,187,1480,187,570,0,0,112,,,,Haro Chip Capsule
348,Byarlant Custom,12-05-2-01,58,2,,2,1,8,25,754,187,187,364,754,0,281,,"With Module Category equipped, Buff EX Skill effect up 12%",,,Haro Chip Capsule
349,Byarlant Custom,12-05-3-01,58,3,,2,1,8,9,570,364,187,187,754,81,201,113,,,,Haro Chip Capsule
350,Byarlant Custom,12-05-4-01,58,4,,2,1,9,8,364,187,187,364,754,281,201,48,,,,Haro Chip Capsule
351,Byarlant Custom,12-05-5-01,58,5,,2,1,8,16,364,187,187,364,754,201,281,114,,,,Haro Chip Capsule
352,Juaggu [Unicorn Ver.],12-06-1-01,59,1,,1,3,4,8,372,137,797,137,137,138,54,,"When Armor is 90% or more, Projectile speed boosted 10%",,,"Free Missions, Friend Point Capsule, Capital Shop"
353,Juaggu [Unicorn Ver.],12-06-2-01,59,2,,1,3,4,8,640,137,287,287,287,190,0,115,,,,"Free Missions, Friend Point Capsule, Capital Shop"
354,Juaggu [Unicorn Ver.],12-06-3-01,59,3,,1,3,4,15,372,287,287,372,372,0,0,116,,,,"Free Missions, Friend Point Capsule, Capital Shop"
355,Juaggu [Unicorn Ver.],12-06-4-01,59,4,,1,3,4,15,372,137,137,287,372,190,138,117,,,,"Free Missions, Friend Point Capsule, Capital Shop"
356,Juaggu [Unicorn Ver.],12-06-5-01,59,5,,1,3,4,15,372,137,137,287,372,190,138,,"When Armor is 90% or more, Vernier consumption reduced 10%",,,"Free Missions, Friend Point Capsule, Capital Shop"
357,Gundam Barbatos [4th Form],28-01-1-01,60,1,,4,1,1,23,799,384,1979,384,1182,420,213,,"With Power attribute (self), Close Shot Attack raised 20%",,,Haro Chip Capsule
358,Gundam Barbatos [4th Form],28-01-2-01,60,2,,4,1,1,23,1182,799,384,799,1606,612,0,32,,,,Haro Chip Capsule
359,Gundam Barbatos [4th Form],28-01-3-01,60,3,,4,1,1,6,799,2786,384,799,1182,0,0,,"In-Fighter Job, Melee power boosted 30%",,,Haro Chip Capsule
360,Gundam Barbatos [4th Form],28-01-4-01,60,4,,4,1,1,6,799,384,384,384,1182,612,420,104,,,,Haro Chip Capsule
361,Gundam Barbatos [4th Form],28-01-5-01,60,5,,4,1,1,6,779,384,384,384,1182,612,420,,"With Power attribute (self), Melee DMG output boosted by 35",,,Haro Chip Capsule
362,Long Sword [Barbatos],28-01-6a-01,60,6,,4,1,1,21,384,3586,0,0,799,420,213,,"In-Fighter Job, Melee CRIT rate boosted 30%",2,2,Haro Chip Capsule
363,Mace,28-01-6d-01,60,6,,4,1,21,1,384,3586,0,0,799,420,213,118,,2,6,Haro Chip Capsule
364,Smoothbore Cannon,28-01-7b-01,60,7,,4,1,1,21,799,0,1979,0,799,612,213,,"With Power attribute (self), Close Shot Attack raised 20%",2,10,Haro Chip Capsule
365,Beargguy,31-02-1-01,61,1,,3,1,4,26,1144,292,891,558,558,302,0,119,,,,Haro Chip Capsule
366,Beargguy,31-02-2-01,61,2,4,3,1,4,24,2593,558,558,1435,1435,592,430,,"With Module Category equipped, Buff EX Skill effect up 15%",,,Haro Chip Capsule
367,Beargguy,31-02-3-01,61,3,,3,1,4,24,891,891,292,891,891,127,0,113,,,,Haro Chip Capsule
368,Beargguy,31-02-5-01,61,5,,3,1,4,26,891,292,292,891,891,430,127,120,,,,Haro Chip Capsule
369,Nu Gundam [Ver. Ka],16-05-1-01,62,1,,4,3,20,3,553,553,3312,553,1356,0,0,,"When attacking with Beam, EX Skill power boosted 30%",,,Haro Chip Capsule
370,Nu Gundam [Ver. Ka],16-05-2-01,62,2,,4,3,20,3,1734,553,553,966,1734,0,673,,"When attacking with Beam, Shooting power boosted 30%",,,Haro Chip Capsule
371,Nu Gundam [Ver. Ka],16-05-3-01,62,3,,4,3,20,3,1356,966,553,553,1734,284,465,121,,,,Haro Chip Capsule
372,Nu Gundam [Ver. Ka],16-05-4-01,62,4,,4,3,20,13,966,553,553,966,1734,673,465,,"When Armor is 40% or more, EX Skill CD reduced 20%",,,Haro Chip Capsule
373,Nu Gundam [Ver. Ka],16-05-5-01,62,5,,4,3,20,13,966,553,553,966,1734,465,673,122,,,,Haro Chip Capsule
374,Beam Saber [Nu Ver.Ka],16-05-6a-01,62,6,,4,3,20,3,1356,2523,0,0,0,465,673,,"With Speed attribute (self), Strong Melee power boosted 30%",1,2,Haro Chip Capsule
375,Beam Rifle [Nu Ver.Ka],16-05-7a-01,62,7,,4,3,20,3,553,0,4110,0,0,284,465,,"When Armor is 40% or more, Enemy Strong Melee power reduced 30%",1,8,Haro Chip Capsule
376,New Hyper Bazooka [Nu Ver.Ka],16-05-7d-01,62,7,,4,3,20,3,553,0,4110,0,0,284,465,123,,2,12,Haro Chip Capsule
377,Shield [Nu Ver.Ka],16-05-8-01,62,8,,4,3,20,3,966,0,0,966,2523,0,1082,,"With Rifle Category equipped, Enemy Shooting power reduced 30%",,,Haro Chip Capsule
378,Gundam Artemis,99-01-1-01,63,1,,2,1,1,10,796,383,2378,796,796,417,0,124,,,,Friend Point Capsule & Capital Shop
379,Gundam Artemis,99-01-2-01,63,2,,2,1,1,10,1601,383,383,1180,1180,610,0,125,,,,Friend Point Capsule & Capital Shop
380,Gundam Artemis,99-01-3-01,63,3,8,2,1,1,10,1601,2378,383,2781,2781,417,417,126,,,,Friend Point Capsule & Capital Shop
381,Gundam Artemis,99-01-4-01,63,4,,2,1,1,26,796,383,383,1180,1180,610,417,,11% chance to not recoil,,,Friend Point Capsule & Capital Shop
382,Gundam Artemis,99-01-5-01,63,5,,2,1,1,26,796,383,383,1180,1180,610,417,,Buff EX Skill effect up 12%,,,Friend Point Capsule & Capital Shop
383,Arondight [Artemis],99-01-6c-01,63,6,,2,1,1,10,796,3175,0,0,0,610,212,,Melee DMG output boosted by 15,1,5,Friend Point Capsule & Capital Shop
384,Beam Rifle [Artemis],99-01-7a-01,63,7,,2,1,1,10,796,0,3175,0,0,610,212,,Shooting DMG output boosted by 15,1,8,Friend Point Capsule & Capital Shop
385,Rising Gundam,16-02-1-01,64,1,,3,3,14,8,889,291,558,889,291,126,302,3,,,,Bullseye Coins (Event)
386,Rising Gundam,16-02-2-01,64,2,,3,3,14,8,1142,291,291,1142,558,0,428,,Strong Melee power boosted 20%,,,Bullseye Coins (Event)
387,Rising Gundam,16-02-3-01,64,3,,3,3,14,13,291,2300,291,1142,291,0,0,127,,,,Bullseye Coins (Event)
388,Rising Gundam,16-02-4-01,64,4,,3,3,14,13,558,291,291,1142,558,428,302,,Shooting CRIT rate boosted 17%,,,Bullseye Coins (Event)
389,Rising Gundam,16-02-5-01,64,5,,3,3,14,8,558,291,291,1142,558,302,428,31,,,,Bullseye Coins (Event)
390,Mobile SUMO [Gold Type],20-01-1-01,65,1,,3,3,3,11,558,292,1993,292,292,302,127,28,,,,Arena Coins
391,Mobile SUMO [Gold Type],20-01-2-01,65,2,,3,3,3,11,1144,558,558,558,558,430,0,,"When Armor is 40% or less, 10% chance to survive a fatal blow",,,Arena Coins
392,Mobile SUMO [Gold Type],20-01-3-01,65,3,,3,3,3,11,558,1993,891,292,292,0,0,128,,,,Arena Coins
393,Mobile SUMO [Gold Type],20-01-4-01,65,4,,3,3,3,7,558,558,292,558,558,302,430,129,,,,Arena Coins
394,Mobile SUMO [Gold Type],20-01-5-01,65,5,,3,3,3,24,558,558,292,558,558,430,302,,"When Armor is 60% or more, EX Skill piercing boosted 22%",,,Arena Coins
395,Heat Fan,20-01-6b-01,65,6,,3,3,3,24,292,2593,0,0,0,430,302,130,,2,1,Arena Coins
396,Hand Beam Gun,20-01-7a-01,65,7,,3,3,3,7,292,0,2593,0,0,302,127,,"When Armor is 60% or more, Shooting DMG output boosted by 20",1,8,Arena Coins
397,Gundam Exia,25-01-1-01,66,1,,4,3,13,6,1181,384,796,1181,384,213,417,16,,,,Haro Chip Capsule
398,Gundam Exia,25-01-2-01,66,2,,4,3,13,6,1602,384,384,1602,796,0,611,,"In-Fighter Job, EX Skill CD reduced 20%",,,Haro Chip Capsule
399,Gundam Exia,25-01-3-01,66,3,,4,3,13,6,384,3177,384,1602,384,0,0,131,,,,Haro Chip Capsule
400,Gundam Exia,25-01-4-01,66,4,,4,3,13,9,796,384,384,1602,796,611,417,132,,,,Haro Chip Capsule
401,Gundam Exia,25-01-5-01,66,5,,4,3,13,25,796,384,384,1602,796,417,611,133,,,,Haro Chip Capsule
402,GN Sword,25-01-6a-01,66,6,,4,3,13,6,1181,2380,0,0,384,417,213,,"With Speed attribute (self), Initial EX Skill charge boosted 20%",2,2,Haro Chip Capsule
403,GN Sword Rifle Mode,25-01-7a-01,66,7,,4,3,13,6,1181,0,3177,0,0,611,213,,"When Armor is 40% or more, Enemy Strong Melee power reduced 30%",1,8,Haro Chip Capsule
404,GN Shield [Exia],25-01-8-01,66,8,,4,3,13,6,796,0,0,2380,796,0,1028,,"When Armor is 40% or more, EX Skill DMG output boosted by 35",,,Haro Chip Capsule
405,Gundam Dynames,25-02-1-01,67,1,,4,2,8,13,384,384,3181,384,1182,0,0,134,,,,Haro Chip Capsule
406,Gundam Dynames,25-02-2-01,67,2,,4,2,8,21,1606,384,384,799,1606,290,290,,"Long-Shooter Job, Shooting power boosted 30%",,,Haro Chip Capsule
407,Gundam Dynames,25-02-3-01,67,3,,4,2,8,10,1182,799,384,384,1606,290,290,,"Long-Shooter Job, Shot guidance boosted 17%",,,Haro Chip Capsule
408,Gundam Dynames,25-02-4-01,67,4,,4,2,8,21,799,384,384,799,1606,420,420,135,,,,Haro Chip Capsule
409,Gundam Dynames,25-02-5-01,67,5,,4,2,8,13,799,384,384,799,1606,420,420,136,,,,Haro Chip Capsule
410,GN Sniper Rifle,25-02-7b-01,67,7,,4,2,8,10,384,0,4004,0,0,290,290,,"Beam ranged weapon, reload speed boosted 20%",1,10,Haro Chip Capsule
411,Gundam X Divider,19-02-1-01,68,1,,4,1,7,13,1181,384,1181,1181,797,418,213,137,,,,Haro Chip Capsule
412,Gundam X Divider,19-02-2-01,68,2,,4,1,7,13,1978,384,384,797,797,611,0,,"With Blade Category equipped, Strong Melee power boosted 30%",,,Haro Chip Capsule
413,Gundam X Divider,19-02-3-01,68,3,,4,1,7,10,797,1181,384,1181,1181,213,0,,"Out-Fighter Job, Enemy Shooting power reduced 30%",,,Haro Chip Capsule
414,Gundam X Divider,19-02-4-01,68,4,,4,1,7,21,1181,384,384,1605,384,611,213,,"Out-Fighter Job, EX Skill CD reduced 20%",,,Haro Chip Capsule
415,Gundam X Divider,19-02-5-01,68,5,,4,1,7,21,1181,384,384,1181,797,611,213,138,,,,Haro Chip Capsule
416,Beam Machine Gun [X Divider],19-02-7c-01,68,7,,4,1,7,21,1181,0,2382,797,0,611,213,,"Out-Fighter Job, Initial EX Skill charge boosted 20%",1,9,Haro Chip Capsule
417,Divider,19-02-8-01,68,8,,4,1,7,10,1181,0,0,1978,797,809,213,139,,,,Haro Chip Capsule
418,Aile Strike Gundam,21-01-1-01,69,1,,4,3,1,7,799,384,2791,799,384,213,0,78,,,,Haro Chip Capsule
419,Aile Strike Gundam,21-01-2-01,69,2,,4,3,1,7,1184,384,384,1608,799,614,0,,Shooting CRIT rate boosted 30%,,,Haro Chip Capsule
420,Aile Strike Gundam,21-01-3-01,69,3,,4,3,1,7,799,1982,384,1184,799,0,0,,Sp. Shot power boosted 30%,,,Haro Chip Capsule
421,Aile Strike Gundam,21-01-4-01,69,4,,4,3,1,9,799,384,799,1184,384,614,420,140,,,,Haro Chip Capsule
422,Aile Strike Gundam,21-01-5-01,69,5,,4,3,1,9,799,384,384,1608,384,614,420,141,,,,Haro Chip Capsule
423,Beam Saber [Aile Strike],21-01-6a-01,69,6,,4,3,1,9,799,1982,0,799,0,614,213,,"Out-Fighter Job, Enemy Melee power reduced 30%",1,2,Haro Chip Capsule
424,Grand Slam,21-01-6c-02,69,6,,4,3,1,9,799,1982,0,799,0,614,213,142,,2,5,Haro Chip Capsule
425,57mm High-Energy Beam Rifle [Aile Strike],21-01-7a-01,69,7,,4,3,1,7,384,0,3590,799,0,420,213,,"With Speed attribute (self), Initial EX Skill charge boosted 20%",1,8,Haro Chip Capsule
426,Anti-Beam Shield [Aile Strike],21-01-8-01,69,8,,4,3,1,7,799,0,0,1982,799,812,213,,"With Speed attribute (self), EX Skill DMG output boosted by 35",,,Haro Chip Capsule
427,Blitz Gundam,21-06-1-01,70,1,,3,3,9,24,558,291,889,889,889,302,0,61,,,,Assault Coins (Event)
428,Blitz Gundam,21-06-2-01,70,2,,3,3,9,24,1140,291,0,889,889,428,0,143,,,,Assault Coins (Event)
429,Blitz Gundam,21-06-3-01,70,3,,3,3,9,24,558,889,291,889,889,302,126,144,,,,Assault Coins (Event)
430,Blitz Gundam,21-06-4-01,70,4,,3,3,9,7,558,291,291,1140,1140,126,302,,"With Speed attribute (self), Shooting CRIT rate boosted 17%",,,Assault Coins (Event)
431,Blitz Gundam,21-06-5-01,70,5,,3,3,9,7,558,291,291,1140,1140,302,126,,35% chance to prevent vernier consumption when stepping,,,Assault Coins (Event)
432,Astray Red Frame,23-01-1-01,71,1,,4,3,1,6,1181,384,796,1181,796,289,289,78,,,,Haro Chip Capsule
433,Astray Red Frame,23-01-2-01,71,2,,4,3,1,6,1977,796,384,796,796,289,289,,"In-Fighter Job, EX Skill CD reduced 20%",,,Haro Chip Capsule
434,Astray Red Frame,23-01-3-01,71,3,,4,3,1,6,796,2783,0,1181,1181,0,0,145,,,,Haro Chip Capsule
435,Astray Red Frame,23-01-4-01,71,4,,4,3,1,24,1181,384,384,1181,796,476,476,146,,,,Haro Chip Capsule
436,Astray Red Frame,23-01-5-01,71,5,,4,3,1,24,1181,384,384,1181,796,479,479,4,,,,Haro Chip Capsule
437,Gerbera Straight,23-01-6a-01,71,6,,4,3,1,24,1181,3581,0,0,0,289,289,147,,2,2,Haro Chip Capsule
438,Anti-Beam Shield [Red Frame],23-01-8-01,71,8,,4,3,1,24,1181,0,0,1603,796,476,476,,"In-Fighter Job, Enemy Shooting power reduced 30%",,,Haro Chip Capsule
439,Dragon Gundam,16-03-1-01,72,1,,3,2,14,6,559,292,1436,292,891,127,303,148,,,,Haro Chip Capsule
440,Dragon Gundam,16-03-2-01,72,2,,3,2,14,6,891,559,292,559,1144,0,430,72,,,,Haro Chip Capsule
441,Dragon Gundam,16-03-3-01,72,3,,3,2,14,6,559,1994,292,559,891,0,0,149,,,,Haro Chip Capsule
442,Dragon Gundam,16-03-4-01,72,4,,3,2,14,10,559,292,292,292,891,303,430,,"Out-Fighter Job, Close Shot Attack raised 14%",,,Haro Chip Capsule
443,Dragon Gundam,16-03-5-01,72,5,,3,2,14,10,559,292,292,292,891,303,430,,"Out-Fighter Job, Enemy Sp. Shot power reduced 25%",,,Haro Chip Capsule
444,Feilong Flag,16-03-6a-01,72,6,,3,2,14,10,292,2594,0,0,559,127,303,150,,1,2,Haro Chip Capsule
445,Gerbera Tetra,07-05-1-01,73,1,,3,3,3,17,889,291,1701,291,291,302,126,,"With ""Gundam Type"" enemy, Shooting power boosted 25%",,,Covert Coins (Event)
446,Gerbera Tetra,07-05-2-01,73,2,,3,3,3,17,1433,291,558,558,558,428,0,,"With ""Gundam Type"" enemy, EX Skill DMG output boosted by 20",,,Covert Coins (Event)
447,Gerbera Tetra,07-05-3-01,73,3,,3,3,3,7,889,558,558,889,889,0,0,151,,,,Covert Coins (Event)
448,Gerbera Tetra,07-05-4-01,73,4,,3,3,3,7,889,291,291,558,889,428,302,14,,,,Covert Coins (Event)
449,Gerbera Tetra,07-05-5-01,73,5,,3,3,3,9,889,291,291,558,889,428,302,,"When Armor is 60% or more, Buff EX Skill effect up 15%",,,Covert Coins (Event)
450,Beam Machine Gun [Gerbera Tetra],07-05-7c-01,73,7,,3,3,3,7,889,0,2300,0,0,428,126,59,,1,9,Covert Coins (Event)
451,Zeta Gundam,08-01-1-01,74,1,,4,3,12,13,969,379,2361,791,791,468,0,3,,,,Haro Chip Capsule
452,Zeta Gundam,08-01-2-01,74,2,,4,3,12,3,1738,379,379,1358,1358,675,0,152,,,,Haro Chip Capsule
453,Zeta Gundam,08-01-3-01,74,3,,4,3,12,13,969,2528,379,1358,1358,0,0,153,,,,Haro Chip Capsule
454,Zeta Gundam,08-01-4-01,74,4,,4,3,12,3,969,379,379,1358,1358,675,468,89,,,,Haro Chip Capsule
455,Zeta Gundam,08-01-5-01,74,5,,4,3,12,13,969,379,379,1358,1358,675,468,,"When attacking with Beam, Shooting power boosted 30%",,,Haro Chip Capsule
456,Beam Saber [Zeta],08-01-6a-01,74,6,,4,3,12,6,969,3318,0,0,0,675,208,39,,1,2,Haro Chip Capsule
457,Long Beam Saber,08-01-6c-01,74,6,,4,3,12,8,969,3318,0,0,0,675,208,,"With Speed attribute (self), Melee DMG output boosted by 35",1,5,Haro Chip Capsule
458,Beam Rifle [Zeta],08-01-7a-01,74,7,,4,3,12,13,969,0,3318,0,0,675,208,,Sp. Shot DMG output boosted by 35,1,8,Haro Chip Capsule
459,Hyper Mega Launcher,08-01-7b-01,74,7,,4,3,12,10,969,0,3318,0,0,675,208,,"With Speed attribute (self), Enemy Shooting power reduced 30%",1,10,Haro Chip Capsule
460,Zeta Shield,08-01-8-01,74,8,,4,3,12,6,969,0,0,1738,1738,878,208,41,,,,Haro Chip Capsule
461,Qubeley,08-08-1-01,75,1,,4,1,5,10,968,553,2927,968,553,0,284,154,,,,Haro Chip Capsule
462,Qubeley,08-08-2-01,75,2,,4,1,5,10,1358,553,553,1737,968,0,675,,"Middle-Shooter Job, Buff EX Skill effect up 22%",,,Haro Chip Capsule
463,Qubeley,08-08-3-01,75,3,,4,1,5,10,968,2138,553,1358,968,0,0,155,,,,Haro Chip Capsule
464,Qubeley,08-08-4-01,75,4,,4,1,5,9,968,553,968,1358,553,467,675,,"Middle-Shooter Job, Mid Shot Attack raised 20%",,,Haro Chip Capsule
465,Qubeley,08-08-5-01,75,5,,4,1,5,9,968,553,553,1737,553,467,675,156,,,,Haro Chip Capsule
466,Tallgeese II,17-06-1-01,76,1,,3,2,5,8,558,291,1700,558,558,126,126,157,,,,Commander-in-Chief Coins (Event)
467,Tallgeese II,17-06-2-01,76,2,,3,2,5,8,1142,291,291,889,889,213,213,,"With ""For Space"" enemy, EX Skill piercing boosted 22%",,,Commander-in-Chief Coins (Event)
468,Tallgeese II,17-06-3-01,76,3,8,3,2,5,8,1142,1700,291,1991,1991,302,302,158,,,,Commander-in-Chief Coins (Event)
469,Tallgeese II,17-06-4-01,76,4,,3,2,5,9,558,291,291,889,889,349,375,,"With ""For Space"" enemy, Mid Shot Attack raised 14%",,,Commander-in-Chief Coins (Event)
470,Tallgeese II,17-06-5-01,76,5,,3,2,5,9,558,291,291,889,889,375,349,,"With ""For Space"" enemy, Shooting power boosted 25%",,,Commander-in-Chief Coins (Event)
471,Hyaku Shiki,08-03-1-01,77,1,,3,3,5,9,559,294,1999,559,294,0,129,3,,,,Golden Coins (Event)
472,Hyaku Shiki,08-03-2-01,77,2,,3,3,5,9,893,294,294,1146,559,0,432,,"With ""Ace Excl."" enemy, Melee DMG taken reduced by 20",,,Golden Coins (Event)
473,Hyaku Shiki,08-03-3-01,77,3,,3,3,5,3,559,1438,294,893,559,0,0,14,,,,Golden Coins (Event)
474,Hyaku Shiki,08-03-4-01,77,4,,3,3,5,3,559,294,559,893,294,303,432,,"With Bazooka Category equipped, Shot spread reduced 15%",,,Golden Coins (Event)
475,Hyaku Shiki,08-03-5-01,77,5,,3,3,5,20,559,294,294,1146,294,303,432,,"With ""Ace Excl."" enemy, Shooting power boosted 25%",,,Golden Coins (Event)
476,Beam Saber [Hyaku Shiki],08-03-6a-01,77,6,,3,3,5,20,559,1438,0,559,0,129,432,159,,1,2,Golden Coins (Event)
477,Beam Rifle [Hyaku Shiki],08-03-7a-01,77,7,,3,3,5,7,294,0,2598,559,0,129,303,,"When attacking with Beam, EX Skill power boosted 25%",1,8,Golden Coins (Event)
478,Clay Bazooka,08-03-7d-01,77,7,,3,3,5,7,294,0,2598,559,0,129,303,40,,2,12,Golden Coins (Event)
479,Shenlong Gundam,17-03-1-01,78,1,,4,2,6,23,1605,384,1181,797,797,418,0,3,,,,Haro Chip Capsule
480,Shenlong Gundam,17-03-2-01,78,2,,4,2,6,23,2382,384,384,797,797,611,0,,"With Technique attribute (self), Strong Melee power boosted 30%",,,Haro Chip Capsule
481,Shenlong Gundam,17-03-3-01,78,3,,4,2,6,10,1181,1181,384,1181,1181,213,0,160,,,,Haro Chip Capsule
482,Shenlong Gundam,17-03-4-01,78,4,,4,2,6,10,1181,384,384,1181,1181,213,611,,"With Technique attribute (self), 33% chance to not recoil",,,Haro Chip Capsule
483,Shenlong Gundam,17-03-5-01,78,5,,4,2,6,10,1181,384,384,1181,1181,611,213,161,,,,Haro Chip Capsule
484,Beam Glaive,17-03-6d-01,78,6,,4,2,6,23,1181,1605,0,384,384,611,418,150,,1,6,Haro Chip Capsule
485,Shenlong Shield,17-03-8-01,78,8,,4,2,6,13,1181,0,0,1181,1181,1029,0,84,,,,Haro Chip Capsule
486,Gundam Deathscythe,17-02-1-01,79,1,,4,3,9,23,795,382,1179,1179,1179,0,416,3,,,,Haro Chip Capsule
487,Gundam Deathscythe,17-02-2-01,79,2,,4,3,9,23,1601,382,0,1179,1179,0,609,162,,,,Haro Chip Capsule
488,Gundam Deathscythe,17-02-3-01,79,3,,4,3,9,23,795,1179,382,1179,1179,211,416,,"With Axe Category equipped, Mid Shot Attack raised 20%",,,Haro Chip Capsule
489,Gundam Deathscythe,17-02-4-01,79,4,,4,3,9,25,795,382,382,1601,1601,416,211,,"With Axe Category equipped, EX Skill CD reduced 20%",,,Haro Chip Capsule
490,Gundam Deathscythe,17-02-5-01,79,5,,4,3,9,25,795,382,382,1601,1601,211,416,163,,,,Haro Chip Capsule
491,Beam Scythe,17-02-6b-01,79,6,,4,3,9,25,795,1601,0,795,795,416,609,164,,1,1,Haro Chip Capsule
492,Buster Shield,17-02-8-01,79,8,,4,3,9,25,0,0,0,1974,1974,211,805,165,,,,Haro Chip Capsule
493,Code ϕ,99-02-1-01,80,1,,2,2,3,9,800,385,1985,385,1185,292,292,3,,,,Hard Free Missions
494,Code ϕ,99-02-2-01,80,2,,2,2,3,9,1185,800,385,800,1610,292,292,166,,,,Hard Free Missions
495,Code ϕ,99-02-3-01,80,3,,2,2,3,9,800,2795,385,800,1185,0,0,,Melee power boosted 15%,,,Hard Free Missions
496,Code ϕ,99-02-4-01,80,4,,2,2,3,22,800,385,385,385,1185,479,479,,Melee CRIT rate boosted 14%,,,Hard Free Missions
497,Beam Scythe [Code ϕ],99-02-6b-01,80,6,,2,2,3,9,385,3594,0,0,800,292,292,167,,1,1,Hard Free Missions
498,Beam Rifle [Code ϕ],99-02-7a-01,80,7,,2,2,3,9,800,0,1985,0,800,292,292,,Job Gauge increase boosted 11%,1,8,Hard Free Missions
499,Wing Gundam,17-01-1-01,81,1,,4,3,12,8,797,384,2785,384,384,418,213,3,,,,Haro Chip Capsule
500,Wing Gundam,17-01-2-01,81,2,,4,3,12,1,1605,797,797,797,797,611,0,168,,,,Haro Chip Capsule
501,Wing Gundam,17-01-3-01,81,3,,4,3,12,8,797,2785,1181,384,384,0,0,,"When Armor is 70% or less, Enemy Melee power reduced 30% ",,,Haro Chip Capsule
502,Wing Gundam,17-01-4-01,81,4,,4,3,12,13,797,797,384,797,797,418,611,,"When Armor is 70% or less, Long Shot Attack raised 20%",,,Haro Chip Capsule
503,Wing Gundam,17-01-5-01,81,5,,4,3,12,13,797,797,384,797,797,611,418,,"When Armor is 70% or less, Long Shot Attack raised 20%",,,Haro Chip Capsule
504,Beam Saber [Wing],17-01-6a-01,81,6,,4,3,12,13,384,3582,0,0,0,611,418,,"Long-Shooter Job, Job Gauge increase boosted 17%",1,2,Haro Chip Capsule
505,Buster Rifle,17-01-7a-01,81,7,,4,3,12,8,384,0,3582,0,0,417,213,169,,1,8,Haro Chip Capsule
506,Shield [Wing],17-01-8-01,81,8,,4,3,12,8,797,797,384,797,797,1029,0,170,,,,Haro Chip Capsule
507,Force Impulse Gundam,22-01-1-01,82,1,,4,1,13,22,795,382,2377,795,795,0,416,,"When Armor is 40% or more, Shooting CRIT rate boosted 30%",,,Haro Chip Capsule
508,Force Impulse Gundam,22-01-2-01,82,2,,4,1,13,22,1601,382,382,1179,1179,0,609,171,,,,Haro Chip Capsule
509,Force Impulse Gundam,22-01-3-01,82,3,,4,1,13,7,795,2377,382,1179,1179,0,0,,"With Power attribute (self), Strong Melee CRIT rate boosted 30%",,,Haro Chip Capsule
510,Force Impulse Gundam,22-01-4-01,82,4,,4,1,13,7,795,382,382,1179,1179,416,609,140,,,,Haro Chip Capsule
511,Force Impulse Gundam,22-01-5-01,82,5,,4,1,13,7,795,382,382,1179,1179,416,609,172,,,,Haro Chip Capsule
512,Vajra Beam Saber,22-01-6a-01,82,6,,4,1,13,22,795,3173,0,0,0,211,609,,"With Rifle Category equipped, Initial EX Skill charge boosted 20%",1,2,Haro Chip Capsule
513,MA-BAR72 High-Energy Beam Rifle,22-01-7a-01,82,7,,4,1,13,1,795,0,3173,0,0,211,609,,"With Rifle Category equipped, Enemy Shooting power reduced 30%",1,8,Haro Chip Capsule
