Index,Part Name,Collection ID,Unit ID,Part Type,X Part,Rarity,Attr,W Tag 1,W Tag 2,Armor,Melee ATK,Shot ATK,Melee DEF,Shot DEF,Beam RES,Phys. RES,EX ID,Trait Condition,Trait Effect,Trait,Wep Type,Wep Cat,Notes
614,EARTHREE GUNDAM,00-00-5-01,98,5,,4,3,1,13,795,382,382,1179,1179,416,609,217,,,,,,Haro Chip Capsule & [No. 002] Bonus Coins
615,Beam Saber [EARTHREE],00-00-6a-01,98,6,,4,3,1,26,795,3173,0,0,0,211,609,,When Armor is 40% or more,Melee DMG taken reduced by 35,"When Armor is 40% or more, Melee DMG taken reduced by 35",1,2,Haro Chip Capsule & [No. 002] Bonus Coins
616,Beam Rifle [EARTHREE],00-00-7a-01,98,7,,4,3,1,26,795,0,3173,0,0,211,609,218,,,,1,8,Haro Chip Capsule & [No. 002] Bonus Coins
617,Shield [EARTHREE],00-00-8-01,98,8,,4,3,1,26,795,0,0,1601,1601,211,805,,Beam ranged weapon,magazine boosted 20%,"Beam ranged weapon, magazine boosted 20%",,,Haro Chip Capsule & [No. 002] Bonus Coins
618,Gundam F91,00-00-1-01,99,1,,4,2,1,13,796,383,2378,796,796,212,212,219,,,,,,Capsule Medals (Event Capsules)
619,Gundam F91,00-00-2-01,99,2,,4,2,1,7,1602,383,383,1180,1180,288,288,,With Saber category equipped,EX Skill DMG output boosted by 35,"With Saber category equipped, EX Skill DMG output boosted by 35",,,Capsule Medals (Event Capsules)
620,Gundam F91,00-00-3-01,99,3,8,4,2,1,9,1602,2378,383,2781,2781,417,417,,With Bazooka category equipped,Sp. Shot power boosted 30%,"With Bazooka category equipped, Sp. Shot power boosted 30%",,,Capsule Medals (Event Capsules)
621,Gundam F91,00-00-4-01,99,4,,4,2,1,9,796,383,383,1180,1180,475,502,220,,,,,,Capsule Medals (Event Capsules)
622,Gundam F91,00-00-5-01,99,5,,4,2,1,13,796,383,383,1180,1180,502,475,221,,,,,,Capsule Medals (Event Capsules)
623,Beam Saber [F91],00-00-6a-01,99,6,,4,2,1,9,796,3176,0,0,0,417,417,,With Rifle category equipped,Melee DMG output boosted by 35,"With Rifle category equipped, Melee DMG output boosted by 35",1,2,Capsule Medals (Event Capsules)
624,Beam Launcher [F91],00-00-7d-01,99,7,,4,2,1,13,796,0,3176,0,0,417,417,,With Saber category equipped,EX Skill power boosted 30%,"With Saber category equipped, EX Skill power boosted 30%",1,12,Capsule Medals (Event Capsules)
625,Beam Rifle [F91],00-00-7a-01,99,7,,4,2,1,13,796,0,3176,0,0,417,417,,With Saber category equipped,Initial EX Skill charge boosted 20%,"With Saber category equipped, Initial EX Skill charge boosted 20%",1,8,Capsule Medals (Event Capsules)
626,Buster Gundam,00-00-1-01,100,1,,3,1,8,21,291,291,2300,291,889,0,0,,With Power attribute (self),Shooting power boosted 25%,"With Power attribute (self), Shooting power boosted 25%",,,Capsule Medals (Event Capsules)
627,Buster Gundam,00-00-2-01,100,2,,3,1,8,21,1142,291,291,558,1142,0,428,222,,,,,,Capsule Medals (Event Capsules)
628,Buster Gundam,00-00-3-01,100,3,,3,1,8,21,889,558,291,291,1142,126,302,134,,,,,,Capsule Medals (Event Capsules)
629,Buster Gundam,00-00-4-01,100,4,,3,1,8,13,558,291,291,558,1142,428,302,223,,,,,,Capsule Medals (Event Capsules)
630,Buster Gundam,00-00-5-01,100,5,,3,1,8,13,558,291,291,558,1142,302,428,,With Power attribute (self),Shooting power boosted 25%,"With Power attribute (self), Shooting power boosted 25%",,,Capsule Medals (Event Capsules)
631,Hyper Impulse Long-Range Sniper Rifle,00-00-7b-01,100,7,,3,1,8,13,291,0,2867,0,0,126,302,224,,,,1,10,Capsule Medals (Event Capsules)
632,Hy-Gogg [ALT],00-00-2-01,101,2,1,1,2,4,17,1088,363,569,1088,1088,460,0,225,,,,,,Capsule Medals (Event Capsules)
633,Hy-Gogg [ALT],00-00-3-01,101,3,,1,2,4,22,363,569,186,569,569,200,80,65,,,,,,Capsule Medals (Event Capsules)
634,Hy-Gogg [ALT],00-00-4-01,101,4,,1,2,4,22,363,186,186,754,754,80,200,90,,,,,,Capsule Medals (Event Capsules)
635,Hy-Gogg [ALT],00-00-5-01,101,5,,1,2,4,22,363,186,186,754,754,200,80,,"With ""Ace Excl."" enemy",Enemy Sp. Shot power reduced 18%,"With ""Ace Excl."" enemy, Enemy Sp. Shot power reduced 18%",,,Capsule Medals (Event Capsules)
636,Kämpfer [ALT],00-00-1-01,102,1,,1,1,10,7,291,291,2300,291,889,0,0,,With Power attribute (self),Shooting CRIT rate boosted 17%,"With Power attribute (self), Shooting CRIT rate boosted 17%",,,Capsule Medals (Event Capsules)
637,Kämpfer [ALT],00-00-2-01,102,2,,1,1,10,7,1142,291,291,558,1142,428,0,,With Power attribute (self),Buff EX Skill time up 15%,"With Power attribute (self), Buff EX Skill time up 15%",,,Capsule Medals (Event Capsules)
638,Kämpfer [ALT],00-00-3-01,102,3,,1,1,10,17,889,558,291,291,1142,302,126,,With Power attribute (self),Shooting CRIT rate boosted 17%,"With Power attribute (self), Shooting CRIT rate boosted 17%",,,Capsule Medals (Event Capsules)
639,Kämpfer [ALT],00-00-4-01,102,4,,1,1,10,26,558,291,291,558,1142,302,428,226,,,,,,Capsule Medals (Event Capsules)
640,Kämpfer [ALT],00-00-5-01,102,5,,1,1,10,26,558,291,291,558,1142,428,302,28,,,,,,Capsule Medals (Event Capsules)
641,Gafran [ALT],00-00-1-01,103,1,,1,3,2,6,364,187,187,757,757,139,139,227,,,,,,Capsule Medals (Event Capsules)
642,Gafran [ALT],00-00-2-01,103,2,,1,3,2,7,757,187,0,570,570,139,139,,With Module category equipped,Debuff EX Skill effect up 12%,"With Module category equipped, Debuff EX Skill effect up 12%",,,Capsule Medals (Event Capsules)
643,Gafran [ALT],00-00-3-01,103,3,,1,3,2,7,364,570,187,570,570,81,81,228,,,,,,Capsule Medals (Event Capsules)
644,Gafran [ALT],00-00-4-01,103,4,,1,3,2,7,364,187,187,757,757,139,139,,With Module category equipped,EX Skill recovery boosted 18%,"With Module category equipped, EX Skill recovery boosted 18%",,,Capsule Medals (Event Capsules)
645,Gafran [ALT],00-00-5-01,103,5,,1,3,2,6,364,187,187,757,757,139,139,229,,,,,,Capsule Medals (Event Capsules)
646,Jesta Cannon [ALT],00-00-1-01,104,1,,1,2,8,15,187,187,1480,187,570,0,0,,When Armor is 70% or more,Close Shot Attack raised 10%,"When Armor is 70% or more, Close Shot Attack raised 10%",,,Capsule Medals (Event Capsules)
647,Jesta Cannon [ALT],00-00-2-01,104,2,,1,2,8,15,754,187,187,364,754,281,0,,With Technique attribute (self),Enemy Strong Melee power reduced 18%,"With Technique attribute (self), Enemy Strong Melee power reduced 18%",,,Capsule Medals (Event Capsules)
648,Jesta Cannon [ALT],00-00-3-01,104,3,,1,2,8,19,570,364,187,187,754,201,81,,When Armor is 70% or more,Close Shot Attack raised 10%,"When Armor is 70% or more, Close Shot Attack raised 10%",,,Capsule Medals (Event Capsules)
649,Jesta Cannon [ALT],00-00-4-01,104,4,,1,2,8,19,364,187,187,364,754,201,281,11,,,,,,Capsule Medals (Event Capsules)
650,Jesta Cannon [ALT],00-00-5-01,104,5,,1,2,8,19,364,187,187,364,754,281,201,65,,,,,,Capsule Medals (Event Capsules)
651,Beam Rifle [ALT] [Jesta Cannon],00-00-7c-02,104,7,,1,2,8,15,187,0,1864,0,0,201,81,,With Machine Gun category equipped,Sp. Shot DMG output boosted by 15,"With Machine Gun category equipped, Sp. Shot DMG output boosted by 15",1,9,Capsule Medals (Event Capsules)
652,Stark Jegan [ALT],00-00-1-01,105,1,,1,1,5,8,287,138,902,287,138,55,0,56,,,,,,Capsule Medals (Event Capsules)
653,Stark Jegan [ALT],00-00-2-01,105,2,,1,1,5,8,376,138,138,511,287,194,0,,Middle-Shooter Job,Strong Melee DMG output boosted by 10,"Middle-Shooter Job, Strong Melee DMG output boosted by 10",,,Capsule Medals (Event Capsules)
654,Stark Jegan [ALT],00-00-3-01,105,3,,1,1,5,15,287,641,138,376,287,0,0,230,,,,,,Capsule Medals (Event Capsules)
655,Stark Jegan [ALT],00-00-4-01,105,4,,1,1,5,15,287,138,287,376,138,194,138,108,,,,,,Capsule Medals (Event Capsules)
656,Stark Jegan [ALT],00-00-5-01,105,5,,1,1,5,19,287,138,138,511,138,194,138,,Middle-Shooter Job,Sp. Shot DMG taken reduced by 10,"Middle-Shooter Job, Sp. Shot DMG taken reduced by 10",,,Capsule Medals (Event Capsules)
657,Beam Rifle [ALT] [Stark Jegan],00-00-7a-03,105,7,,1,1,5,7,138,0,1154,287,0,138,55,,Middle-Shooter Job,CRIT rate boosted 10%,"Middle-Shooter Job, CRIT rate boosted 10%",1,8,Capsule Medals (Event Capsules)
658,Hyper Bazooka [ALT] [Stark Jegan],00-00-7d-03,105,7,,1,1,5,7,138,0,1154,287,0,138,55,,Middle-Shooter Job,Shooting DMG output boosted by 10,"Middle-Shooter Job, Shooting DMG output boosted by 10",2,12,Capsule Medals (Event Capsules)
659,Beargguy [ALT],00-00-1-01,106,1,,1,2,4,26,1144,292,891,558,558,302,0,61,,,,,,Capsule Medals (Event Capsules)
660,Beargguy [ALT],00-00-2-01,106,2,4,1,2,4,24,2593,558,558,1435,1435,592,430,,With Module category equipped,Buff EX Skill effect up 15%,"With Module category equipped, Buff EX Skill effect up 15%",,,Capsule Medals (Event Capsules)
661,Beargguy [ALT],00-00-3-01,106,3,,1,2,4,24,891,891,292,891,891,127,0,231,,,,,,Capsule Medals (Event Capsules)
662,Beargguy [ALT],00-00-5-01,106,5,,1,2,4,26,891,292,292,891,891,430,127,232,,,,,,Capsule Medals (Event Capsules)
663,Zudah [ALT],00-00-1-01,107,1,,1,3,9,8,372,137,287,372,137,138,54,,When Armor is 50% or less,Shooting CRIT rate boosted 14%,"When Armor is 50% or less, Shooting CRIT rate boosted 14%",,,Capsule Medals (Event Capsules)
664,Zudah [ALT],00-00-2-01,107,2,,1,3,9,8,511,137,137,511,287,190,0,,When Armor is 50% or less,Debuff EX Skill effect up 10%,"When Armor is 50% or less, Debuff EX Skill effect up 10%",,,Capsule Medals (Event Capsules)
665,Zudah [ALT],00-00-3-01,107,3,8,1,3,9,20,372,1012,137,1309,372,319,0,233,,,,,,Capsule Medals (Event Capsules)
666,Zudah [ALT],00-00-4-01,107,4,,1,3,9,20,287,137,137,511,287,138,190,541,,,,,,Capsule Medals (Event Capsules)
667,Zudah [ALT],00-00-5-01,107,5,,1,3,9,20,287,137,137,511,287,190,138,102,,,,,,Capsule Medals (Event Capsules)
668,Anti-Ship Rifle [ALT],00-00-7b-02,107,7,,1,3,9,8,372,0,797,0,0,190,138,,With Speed attribute (self),Enemy Shooting power reduced 10%,"With Speed attribute (self), Enemy Shooting power reduced 10%",2,10,Capsule Medals (Event Capsules)
669,Rick Dias [ALT] [Quattro Bajeena Colors],00-00-1-01,108,1,,1,3,9,2,365,187,571,365,365,202,202,44,,,,,,Capsule Medals (Event Capsules)
670,Rick Dias [ALT] [Quattro Bajeena Colors],00-00-2-01,108,2,,1,3,9,2,365,187,187,365,365,282,282,,When Armor is 70% or more,Debuff EX Skill effect up 12%,"When Armor is 70% or more, Debuff EX Skill effect up 12%",,,Capsule Medals (Event Capsules)
671,Rick Dias [ALT] [Quattro Bajeena Colors],00-00-3-01,108,3,,1,3,9,24,187,571,187,365,365,282,282,,When Armor is 70% or more,Enemy Sp. Shot power reduced 18%,"When Armor is 70% or more, Enemy Sp. Shot power reduced 18%",,,Capsule Medals (Event Capsules)
672,Rick Dias [ALT] [Quattro Bajeena Colors],00-00-4-01,108,4,,1,3,9,24,187,187,187,571,571,282,282,,When Armor is 70% or more,Melee CRIT rate boosted 14%,"When Armor is 70% or more, Melee CRIT rate boosted 14%",,,Capsule Medals (Event Capsules)
673,Rick Dias [ALT] [Quattro Bajeena Colors],00-00-5-01,108,5,,1,3,9,24,187,187,187,571,571,282,282,234,,,,,,Capsule Medals (Event Capsules)
674,Palace Athene [ALT],00-00-1-01,109,1,,1,2,10,8,570,187,570,570,364,139,139,18,,,,,,Capsule Medals (Event Capsules)
675,Palace Athene [ALT],00-00-2-01,109,2,,1,2,10,15,942,187,187,364,364,139,139,,With Technique attribute (self),Debuff EX Skill effect up 12%,"With Technique attribute (self), Debuff EX Skill effect up 12%",,,Capsule Medals (Event Capsules)
676,Palace Athene [ALT],00-00-3-01,109,3,,1,2,10,8,364,570,187,570,570,29,29,235,,,,,,Capsule Medals (Event Capsules)
677,Palace Athene [ALT],00-00-4-01,109,4,,1,2,10,15,570,187,187,757,187,201,201,,When attacking with Beam,Shooting CRIT rate boosted 14%,"When attacking with Beam, Shooting CRIT rate boosted 14%",,,Capsule Medals (Event Capsules)
678,Palace Athene [ALT],00-00-5-01,109,5,,1,2,10,8,570,187,187,570,364,201,201,,With Technique attribute (self),Debuff EX Skill effect up 12%,"With Technique attribute (self), Debuff EX Skill effect up 12%",,,Capsule Medals (Event Capsules)
679,Shield [ALT] [Palace Athene],00-00-8-01,109,8,,1,2,10,15,270,0,0,942,364,209,209,,With Technique attribute (self),Sp. Shot DMG taken reduced by 15,"With Technique attribute (self), Sp. Shot DMG taken reduced by 15",,,Capsule Medals (Event Capsules)
680,Doven Wolf [ALT],00-00-1-01,110,1,,1,3,10,2,363,186,1088,363,363,0,200,,Beam ranged weapon,reload speed boosted 15%,"Beam ranged weapon, reload speed boosted 15%",,,Capsule Medals (Event Capsules)
681,Doven Wolf [ALT],00-00-2-01,110,2,,1,3,10,8,754,186,186,569,569,0,280,236,,,,,,Capsule Medals (Event Capsules)
682,Doven Wolf [ALT],00-00-3-01,110,3,,1,3,10,2,363,1088,186,569,569,0,0,,When attacking with Beam,Mid Shot Attack raised 10%,"When attacking with Beam, Mid Shot Attack raised 10%",,,Capsule Medals (Event Capsules)
683,Doven Wolf [ALT],00-00-4-01,110,4,,1,3,10,2,363,186,186,569,569,200,280,,When attacking with Beam,Mid Shot Attack raised 10%,"When attacking with Beam, Mid Shot Attack raised 10%",,,Capsule Medals (Event Capsules)
684,Doven Wolf [ALT],00-00-5-01,110,5,,1,3,10,8,363,186,186,569,569,200,280,237,,,,,,Capsule Medals (Event Capsules)
685,Beam Rifle [ALT] [Doven Wolf],00-00-7a-03,110,7,,1,3,10,8,363,0,1479,0,0,80,280,,Middle-Shooter Job,Shooting DMG taken reduced by 15,"Middle-Shooter Job, Shooting DMG taken reduced by 15",1,8,Capsule Medals (Event Capsules)
686,Serpent Custom [ALT],00-00-1-01,111,1,,1,1,2,10,137,137,1012,137,372,0,0,,Physical ranged weapon,magazine boosted 10%,"Physical ranged weapon, magazine boosted 10%",,,Capsule Medals (Event Capsules)
687,Serpent Custom [ALT],00-00-2-01,111,2,,1,1,2,10,511,137,137,287,511,190,0,42,,,,,,Capsule Medals (Event Capsules)
688,Serpent Custom [ALT],00-00-3-01,111,3,,1,1,2,8,372,287,137,137,511,138,54,7,,,,,,Capsule Medals (Event Capsules)
689,Serpent Custom [ALT],00-00-4-01,111,4,,1,1,2,8,287,137,137,287,511,138,190,,Long-Shooter Job,Sp. Shot power boosted 10%,"Long-Shooter Job, Sp. Shot power boosted 10%",,,Capsule Medals (Event Capsules)
690,Serpent Custom [ALT],00-00-5-01,111,5,,1,1,2,7,287,137,137,287,511,190,138,238,,,,,,Capsule Medals (Event Capsules)
691,Bazooka [ALT] [Serpent],00-00-7d-01,111,7,,1,1,2,7,137,0,1309,0,0,138,54,,"With ""Gundam Type"" enemy",Sp. Shot DMG taken reduced by 10,"With ""Gundam Type"" enemy, Sp. Shot DMG taken reduced by 10",2,12,Capsule Medals (Event Capsules)
692,Beam Cannon [ALT] [Serpent],00-00-7b-01,111,7,,1,1,2,7,137,0,1309,0,0,138,54,,Long-Shooter Job,Shooting DMG output boosted by 10,"Long-Shooter Job, Shooting DMG output boosted by 10",1,10,Capsule Medals (Event Capsules)
693,Byarlant Custom [ALT],00-00-1-01,112,1,,1,3,9,8,187,187,1480,187,570,0,0,,Physical ranged weapon,reload speed boosted 15%,"Physical ranged weapon, reload speed boosted 15%",,,Capsule Medals (Event Capsules)
694,Byarlant Custom [ALT],00-00-2-01,112,2,,1,3,8,25,754,187,187,364,754,0,281,28,,,,,,Capsule Medals (Event Capsules)
695,Byarlant Custom [ALT],00-00-3-01,112,3,,1,3,8,9,570,364,187,187,754,81,201,239,,,,,,Capsule Medals (Event Capsules)
696,Byarlant Custom [ALT],00-00-4-01,112,4,,1,3,9,8,364,187,187,364,754,281,201,,With Module category equipped,Close Shot Attack raised 10%,"With Module category equipped, Close Shot Attack raised 10%",,,Capsule Medals (Event Capsules)
697,Byarlant Custom [ALT],00-00-5-01,112,5,,1,3,8,16,364,187,187,364,754,201,281,114,,,,,,Capsule Medals (Event Capsules)
698,Gundam Rose [ALT],00-00-1-01,113,1,,1,2,14,24,559,292,1436,292,891,303,127,3,,,,,,Capsule Medals (Event Capsules)
699,Gundam Rose [ALT],00-00-2-01,113,2,,1,2,14,24,891,559,292,559,1144,430,0,,With Technique attribute (self),EX Skill CD reduced 15%,"With Technique attribute (self), EX Skill CD reduced 15%",,,Capsule Medals (Event Capsules)
700,Gundam Rose [ALT],00-00-3-01,113,3,8,1,2,14,24,1144,1994,292,1144,2304,592,127,240,,,,,,Capsule Medals (Event Capsules)
701,Gundam Rose [ALT],00-00-4-01,113,4,,1,2,14,8,559,292,292,292,891,430,303,74,,,,,,Capsule Medals (Event Capsules)
702,Gundam Rose [ALT],00-00-5-01,113,5,,1,2,14,8,559,292,292,292,891,430,303,,With Saber category equipped,Buff EX Skill time up 15%,"With Saber category equipped, Buff EX Skill time up 15%",,,Capsule Medals (Event Capsules)
703,Chevalier Saber [ALT],00-00-6a-01,113,6,,1,2,14,8,292,2594,0,0,559,303,127,,,Job Gauge increase boosted 13%,Job Gauge increase boosted 13%,2,2,Capsule Medals (Event Capsules)
704,Tallgeese [Endless Waltz Ver.],00-00-1-01,114,1,,4,3,9,8,799,384,2789,384,384,213,213,,When Armor is 40% or more,EX Skill DMG output boosted by 35,"When Armor is 40% or more, EX Skill DMG output boosted by 35",,,Haro Chip Capsule & [No. 003] Bonus Coins
705,Tallgeese [Endless Waltz Ver.],00-00-2-01,114,2,,4,3,9,8,1606,799,799,799,799,290,290,,In-Fighter Job,EX Skill DMG taken reduced by 35,"In-Fighter Job, EX Skill DMG taken reduced by 35",,,Haro Chip Capsule & [No. 003] Bonus Coins
706,Tallgeese [Endless Waltz Ver.],00-00-3-01,114,3,8,4,3,9,6,1606,3587,1606,1182,1182,477,477,241,,,,,,Haro Chip Capsule & [No. 003] Bonus Coins
707,Tallgeese [Endless Waltz Ver.],00-00-4-01,114,4,,4,3,9,6,799,799,384,799,799,477,477,,In-Fighter Job,EX Skill DMG taken reduced by 35,"In-Fighter Job, EX Skill DMG taken reduced by 35",,,Haro Chip Capsule & [No. 003] Bonus Coins
708,Tallgeese [Endless Waltz Ver.],00-00-5-01,114,5,,4,3,9,6,799,799,384,799,799,477,477,,With Speed attribute (self),Buff EX Skill time up 22%,"With Speed attribute (self), Buff EX Skill time up 22%",,,Haro Chip Capsule & [No. 003] Bonus Coins
709,Dober Gun,00-00-7b-01,114,7,,4,3,9,8,384,0,3587,0,0,420,420,,Beam ranged weapon,magazine boosted 20%,"Beam ranged weapon, magazine boosted 20%",1,10,Haro Chip Capsule & [No. 003] Bonus Coins
710,Victory Gundam,00-00-1-01,115,1,,4,2,23,1,1181,384,796,1181,384,213,417,3,,,,,,Haro Chip Capsule & [No. 003] Bonus Coins
711,Victory Gundam,00-00-2-01,115,2,,4,2,23,1,1602,384,384,1602,796,0,611,,With Rifle category equipped,EX Skill piercing boosted 28%,"With Rifle category equipped, EX Skill piercing boosted 28%",,,Haro Chip Capsule & [No. 003] Bonus Coins
712,Victory Gundam,00-00-3-01,115,3,8,4,2,23,1,1181,3177,384,3997,1181,0,1028,242,,,,,,Haro Chip Capsule & [No. 003] Bonus Coins
713,Victory Gundam,00-00-4-01,115,4,,4,2,23,2,796,384,384,1602,796,611,417,,With Rifle category equipped,Close Shot Attack raised 20%,"With Rifle category equipped, Close Shot Attack raised 20%",,,Haro Chip Capsule & [No. 003] Bonus Coins
714,Victory Gundam,00-00-5-01,115,5,,4,2,23,2,796,384,384,1602,796,417,611,,With Technique attribute (self),Debuff EX Skill time up 22%,"With Technique attribute (self), Debuff EX Skill time up 22%",,,Haro Chip Capsule & [No. 003] Bonus Coins
715,Beam Saber [Victory],00-00-6a-01,115,6,,4,2,23,2,384,3997,0,0,0,213,417,,With Technique attribute (self),Strong Melee CRIT rate boosted 30%,"With Technique attribute (self), Strong Melee CRIT rate boosted 30%",1,2,Haro Chip Capsule & [No. 003] Bonus Coins
716,Beam Rifle [Victory],00-00-7a-01,115,7,,4,2,23,2,1181,0,2380,0,0,417,611,,Beam ranged weapon,reload speed boosted 20%,"Beam ranged weapon, reload speed boosted 20%",1,8,Haro Chip Capsule & [No. 003] Bonus Coins
717,Rozen Zulu,00-00-1-01,116,1,,3,2,17,3,889,291,558,889,558,302,126,,Out-Fighter Job,Mid Shot Attack raised 14%,"Out-Fighter Job, Mid Shot Attack raised 14%",,,Rose Coins (Event)
718,Rozen Zulu,00-00-2-01,116,2,,3,2,17,3,1433,558,291,558,558,428,0,,With Technique attribute (self),Sp. Shot DMG taken reduced by 20,"With Technique attribute (self), Sp. Shot DMG taken reduced by 20",,,Rose Coins (Event)
719,Rozen Zulu,00-00-3-01,116,3,,3,2,17,3,558,1991,0,889,889,0,0,243,,,,,,Rose Coins (Event)
720,Rozen Zulu,00-00-4-01,116,4,,3,2,17,10,889,291,291,889,558,428,302,,When Armor is 40% or less,Shooting CRIT rate boosted 17%,"When Armor is 40% or less, Shooting CRIT rate boosted 17%",,,Rose Coins (Event)
721,Rozen Zulu,00-00-5-01,116,5,,3,2,17,10,889,291,291,889,558,428,302,244,,,,,,Rose Coins (Event)
722,Shield [Rozen Zulu],00-00-8-01,116,8,,3,2,17,10,889,0,0,1142,558,590,123,245,,,,,,Rose Coins (Event)
723,Gundam GP01 [Zephyranthes],00-00-1-01,117,1,,4,2,1,16,1605,384,1181,797,797,418,0,3,,,,,,Haro Chip Capsule & [No. 004] Bonus Coins
724,Gundam GP01 [Zephyranthes],00-00-2-01,117,2,,4,2,1,16,2382,384,384,797,797,611,0,80,,,,,,Haro Chip Capsule & [No. 004] Bonus Coins
725,Gundam GP01 [Zephyranthes],00-00-3-01,117,3,,4,2,1,21,1181,1181,384,1181,1181,213,0,,Beam ranged weapon,reload speed boosted 20%,"Beam ranged weapon, reload speed boosted 20%",,,Haro Chip Capsule & [No. 004] Bonus Coins
726,Gundam GP01 [Zephyranthes],00-00-4-01,117,4,,4,2,1,21,1181,384,384,1181,1181,213,611,,Defender Job,EX Skill CD reduced 20%,"Defender Job, EX Skill CD reduced 20%",,,Haro Chip Capsule & [No. 004] Bonus Coins
727,Gundam GP01 [Zephyranthes],00-00-5-01,117,5,,4,2,1,21,1181,384,384,1181,1181,611,213,246,,,,,,Haro Chip Capsule & [No. 004] Bonus Coins
728,Beam Rifle [GP01],00-00-7a-01,117,7,,4,2,1,16,1181,0,1605,384,384,611,418,,With Technique attribute (self),Enemy Shooting power reduced 30%,"With Technique attribute (self), Enemy Shooting power reduced 30%",1,8,Haro Chip Capsule & [No. 004] Bonus Coins
729,Shield [GP01],00-00-8-01,117,8,,4,2,1,16,1181,0,0,1181,1181,1029,0,222,,,,,,Haro Chip Capsule & [No. 004] Bonus Coins
730,Gundam GP02A [Physalis],00-00-1-01,118,1,,4,1,17,13,1605,384,1181,797,797,418,0,3,,,,,,Haro Chip Capsule & [No. 004] Bonus Coins
731,Gundam GP02A [Physalis],00-00-2-01,118,2,,4,1,17,13,2382,384,384,797,797,611,0,,,11% chance to survive a fatal blow,11% chance to survive a fatal blow,,,Haro Chip Capsule & [No. 004] Bonus Coins
732,Gundam GP02A [Physalis],00-00-3-01,118,3,,4,1,17,13,1181,1181,384,1181,1181,213,0,,Physical ranged weapon,reload speed boosted 20%,"Physical ranged weapon, reload speed boosted 20%",,,Haro Chip Capsule & [No. 004] Bonus Coins
733,Gundam GP02A [Physalis],00-00-4-01,118,4,,4,1,17,25,1181,384,384,1181,1181,213,611,247,,,,,,Haro Chip Capsule & [No. 004] Bonus Coins
734,Gundam GP02A [Physalis],00-00-5-01,118,5,,4,1,17,25,1181,384,384,1181,1181,611,213,,With Bazooka category equipped,Debuff EX Skill effect up 22%,"With Bazooka category equipped, Debuff EX Skill effect up 22%",,,Haro Chip Capsule & [No. 004] Bonus Coins
735,Atomic Bazooka,00-00-7d-01,118,7,,4,1,17,25,384,0,3997,0,0,213,417,248,,,,2,12,Haro Chip Capsule & [No. 004] Bonus Coins
736,Radiator Shield,00-00-8-01,118,8,,4,1,17,25,1181,0,0,1181,1181,1029,0,,Physical ranged weapon,magazine boosted 20%,"Physical ranged weapon, magazine boosted 20%",,,Haro Chip Capsule & [No. 004] Bonus Coins
737,Gundam AGE Normal,00-00-1-01,119,1,,3,1,7,13,559,294,893,559,559,303,303,28,,,,,,AGE Coins (Event)
738,Gundam AGE Normal,00-00-2-01,119,2,,3,1,7,13,559,294,294,559,559,432,432,,"With ""For Computers"" enemy",Strong Melee power boosted 25%,"With ""For Computers"" enemy, Strong Melee power boosted 25%",,,AGE Coins (Event)
739,Gundam AGE Normal,00-00-3-01,119,3,,3,1,7,13,294,893,294,559,559,432,432,,When Armor is 40% or less,Melee DMG output boosted by 20,"When Armor is 40% or less, Melee DMG output boosted by 20",,,AGE Coins (Event)
740,Gundam AGE Normal,00-00-4-01,119,4,,3,1,7,1,294,294,294,893,893,432,432,249,,,,,,AGE Coins (Event)
741,Gundam AGE Normal,00-00-5-01,119,5,,3,1,7,1,294,294,294,893,893,432,432,,When Armor is 60% or more,Shooting DMG output boosted by 20,"When Armor is 60% or more, Shooting DMG output boosted by 20",,,AGE Coins (Event)
742,DODS Rifle,00-00-7a-01,119,7,,3,1,7,1,559,0,1146,0,0,432,432,,With Power attribute (self),Initial EX Skill charge boosted 12%,"With Power attribute (self), Initial EX Skill charge boosted 12%",1,8,AGE Coins (Event)
743,Shield [AGE],00-00-8-01,119,8,,3,1,7,13,294,0,0,893,893,594,594,,With Power attribute (self),Buff EX Skill effect up 15%,"With Power attribute (self), Buff EX Skill effect up 15%",,,AGE Coins (Event)
744,Unicorn,00-00-1-01,120,1,,4,1,20,13,965,553,2922,553,553,284,464,3,,,,,,Haro Chip Capsule
745,Unicorn,00-00-2-01,120,2,,4,1,20,13,1734,965,965,965,965,0,673,250,,,,,,Haro Chip Capsule
746,Unicorn,00-00-3-01,120,3,,4,1,20,13,965,2922,1356,553,553,0,0,251,,,,,,Haro Chip Capsule
747,Unicorn,00-00-4-01,120,4,,4,1,20,10,965,965,553,965,965,673,464,,With Speed attribute (self),Sp. Shot power boosted 30%,"With Speed attribute (self), Sp. Shot power boosted 30%",,,Haro Chip Capsule
748,Unicorn,00-00-5-01,120,5,,4,1,20,10,965,965,553,965,965,464,673,252,,,,,,Haro Chip Capsule
749,Beam Saber [Unicorn],00-00-6a-01,120,6,,4,3,20,10,553,3690,0,0,0,464,673,,With Speed attribute (self),Initial EX Skill charge boosted 20%,"With Speed attribute (self), Initial EX Skill charge boosted 20%",1,2,Haro Chip Capsule
750,Beam Magnum,00-00-7a-01,120,7,,4,3,20,10,553,154,3690,0,0,284,464,,When Armor is 40% or more,Sp. Shot power boosted 30%,"When Armor is 40% or more, Sp. Shot power boosted 30%",1,8,Haro Chip Capsule
